Borough,VM1,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PO75,ENG,RENT,BAME,TEMP,VM1_q,VM2_q,VM3_q,VM4_q,VM5_q,VM6_q,PU5_q,PO75_q,ENG_q,RENT_q,BAME_q,TEMP_q,VM7_q,LSOA11CD,LSOA11NM,PM25_pct,NO2_pct,Poll_Index,Poll_q
Croydon,21.002979145978156,15.699999999999999,11.272109985351562,31.447990417480469,0.000000000000000,29.689577031499820,100,8.190000000000000,3.590000000000000,5.720000000000000,19.000000000000000,72.469999999999999,18.222641158975328,5,3,5,5,1,4,5,1,5,4,5,5,5.000,E01001012,Croydon 020A,0.877272727272727,0.881818181818182,0.879545454545455,5.000000000000000
Croydon,28.015194681861349,5.233000000000000,11.107049942016602,28.849960327148438,0.017705895100568,40.961026228662710,100,10.050000000000001,4.030000000000000,7.310000000000000,46.609999999999999,72.849999999999994,17.895805713293264,5,5,5,5,5,3,5,2,5,5,5,2,5.000,E01001013,Croydon 020B,0.845454545454545,0.822727272727273,0.834090909090909,5.000000000000000
Croydon,14.992067689053412,3.507000000000000,10.613530158996582,26.028909683227539,0.005391231297320,20.249744470725069,100,10.539999999999999,0.620000000000000,2.460000000000000,25.129999999999999,63.070000000000000,17.895805713293264,4,5,4,4,2,5,5,1,3,4,4,2,5.000,E01001014,Croydon 024A,0.727272727272727,0.654545454545455,0.690909090909091,4.000000000000000
Croydon,17.014341590612776,26.026000000000000,9.663970947265623,20.976390838623047,0.007372156441000,55.135635423266507,28,5.850000000000000,6.930000000000000,0.350000000000000,34.649999999999999,34.000000000000000,17.835510412882222,4,2,1,1,3,1,3,4,1,5,1,2,2.000,E01001015,Croydon 041A,0.090909090909091,0.090909090909091,0.090909090909091,1.000000000000000
Croydon,7.005649717514126,34.491000000000000,9.894921302795410,23.097690582275391,0.002357440360049,72.971393789984063,100,6.150000000000000,9.520000000000000,1.180000000000000,7.200000000000000,34.829999999999998,17.835510412882222,2,1,2,2,1,1,3,5,2,2,2,2,5.000,E01001016,Croydon 041B,0.240909090909091,0.263636363636364,0.252272727272727,2.000000000000000
Croydon,3.990326481257558,18.332999999999998,9.832869529724123,21.939359664916992,0.002479774608333,41.349177454944915,0,6.690000000000000,9.000000000000000,0.440000000000000,3.050000000000000,19.180000000000000,17.835510412882222,1,2,2,2,1,3,4,4,1,1,1,2,1.000,E01001017,Croydon 043A,0.200000000000000,0.200000000000000,0.200000000000000,2.000000000000000
Croydon,3.989867004433186,49.630000000000003,9.432732582092285,19.845439910888672,0.003433157322315,76.947633747404282,100,5.320000000000000,10.330000000000000,0.130000000000000,2.690000000000000,14.410000000000000,17.674080317900440,1,1,1,1,1,1,2,5,1,1,1,1,5.000,E01001018,Croydon 044A,0.013636363636364,0.013636363636364,0.013636363636364,1.000000000000000
Croydon,3.974358974358974,22.116000000000000,9.457938194274902,19.926170349121094,0.003771568232452,50.012345021913603,17,6.140000000000000,13.380000000000001,0.360000000000000,8.320000000000000,20.430000000000000,17.835510412882222,1,2,1,1,1,2,3,5,1,2,1,2,1.000,E01001019,Croydon 044B,0.018181818181818,0.022727272727273,0.020454545454545,1.000000000000000
Croydon,4.976019184652278,19.393000000000001,9.642003059387209,21.249469757080082,0.026366589643939,41.349177454944915,21,7.980000000000000,9.430000000000000,0.380000000000000,4.880000000000000,19.109999999999999,17.668287579979093,1,2,1,1,5,3,5,5,1,2,1,1,2.000,E01001020,Croydon 044C,0.072727272727273,0.127272727272727,0.100000000000000,1.000000000000000
Croydon,23.985765124555162,36.628000000000000,9.391826629638672,19.559879302978516,0.000921224217434,92.775343931008251,12,5.840000000000000,10.199999999999999,1.510000000000000,45.869999999999997,32.990000000000002,17.894638110175318,5,1,1,1,1,1,3,5,2,5,1,2,1.000,E01001021,Croydon 044D,0.009090909090909,0.009090909090909,0.009090909090909,1.000000000000000
Croydon,4.979811574697174,41.740000000000002,9.346102714538574,19.277229309082031,0.002514076591942,41.349177454944915,92,4.920000000000000,16.300000000000001,0.280000000000000,1.300000000000000,17.530000000000001,17.668287579979093,1,1,1,1,1,3,1,5,1,1,1,1,5.000,E01001022,Croydon 044E,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
Croydon,14.035087719298245,15.026999999999999,9.975933074951172,22.999809265136719,0.003601841820406,42.387955402030187,100,9.490000000000000,6.060000000000000,1.840000000000000,14.390000000000001,45.070000000000000,17.835510412882222,4,3,2,2,1,2,5,3,2,3,3,2,5.000,E01001023,Croydon 041C,0.259090909090909,0.254545454545455,0.256818181818182,2.000000000000000
